City_ID,City,Lat,Lng,Max Temp,Weather Description,Rain,Snow,Humidity,Cloudiness,Wind Speed,Country,Date
92,Fort Nelson,58.81,-122.7,78.8,broken clouds,0.0,0,36,75,2.24,CA,2020-06-19 01:48:03
93,Brigantine,39.41,-74.36,69.8,overcast clouds,0.0,0,83,90,3.36,US,2020-06-19 01:48:03
94,Airai,-8.93,125.41,68.05,broken clouds,0.0,0,80,80,6.53,TL,2020-06-19 01:48:03
95,Barrow,71.29,-156.79,44.6,clear sky,0.0,0,70,1,12.75,US,2020-06-19 01:46:43
96,Arraial Do Cabo,-22.97,-42.03,69.8,broken clouds,0.0,0,83,81,10.29,BR,2020-06-19 01:48:03
97,Palmer,42.16,-72.33,73.0,overcast clouds,0.0,0,65,99,5.06,US,2020-06-19 01:45:09
98,Tarauaca,-8.16,-70.77,75.25,clear sky,0.0,0,74,10,2.55,BR,2020-06-19 01:47:35
99,Hilo,19.73,-155.09,82.4,scattered clouds,0.0,0,54,40,6.93,US,2020-06-19 01:48:04
100,Souillac,-20.52,57.52,71.6,shower rain,0.0,0,68,75,13.87,MU,2020-06-19 01:48:04
101,Turka,49.15,23.03,57.99,broken clouds,0.0,0,84,73,3.0,UA,2020-06-19 01:48:04
102,Hermanus,-34.42,19.23,50.0,clear sky,0.0,0,77,0,10.13,ZA,2020-06-19 01:48:05
103,Nioro,13.35,-15.75,81.9,clear sky,0.0,0,73,1,9.89,GM,2020-06-19 01:48:05
104,Vanavara,60.34,102.28,67.35,clear sky,0.0,0,42,0,7.76,RU,2020-06-19 01:48:05
105,Kodiak,57.79,-152.41,51.8,overcast clouds,0.0,0,76,90,12.75,US,2020-06-19 01:48:05
106,Kutum,14.2,24.67,71.29,clear sky,0.0,0,53,2,11.48,SD,2020-06-19 01:48:05
107,Dagana,16.52,-15.51,92.14,scattered clouds,0.0,0,30,44,12.46,MR,2020-06-19 01:48:06
108,Novochernorechenskiy,56.27,91.08,57.02,overcast clouds,0.0,0,95,99,6.44,RU,2020-06-19 01:48:06
109,Melfi,41.0,15.65,62.6,clear sky,0.0,0,63,5,8.05,IT,2020-06-19 01:48:06
110,Basco,20.45,121.97,85.1,few clouds,0.0,0,79,13,14.23,PH,2020-06-19 01:48:06
111,Svetlyy,54.67,20.13,60.8,clear sky,0.0,0,100,0,2.24,RU,2020-06-19 01:48:06
112,Ponta Do Sol,32.67,-17.1,69.8,few clouds,0.0,0,68,20,9.17,PT,2020-06-19 01:48:07
113,Tokoroa,-38.23,175.87,55.0,heavy intensity rain,5.08,0,90,87,3.0,NZ,2020-06-19 01:48:07
114,Rongcheng,30.63,117.85,77.02,broken clouds,0.0,0,74,80,2.98,CN,2020-06-19 01:48:07
115,Bredasdorp,-34.53,20.04,59.0,clear sky,0.0,0,47,0,6.46,ZA,2020-06-19 01:45:19
116,Baykit,61.67,96.37,70.18,overcast clouds,0.0,0,35,96,9.37,RU,2020-06-19 01:48:07
117,Nikolskoye,59.7,30.79,62.6,fog,0.0,0,82,0,2.24,RU,2020-06-19 01:48:08
118,Lebu,-37.62,-73.65,53.58,light rain,0.48,0,86,67,11.32,CL,2020-06-19 01:45:14
119,Huarmey,-10.07,-78.15,62.4,few clouds,0.0,0,85,11,7.78,PE,2020-06-19 01:45:39
120,Biak,-0.91,122.88,82.76,light rain,0.36,0,73,93,8.1,ID,2020-06-19 01:48:08
121,Hithadhoo,-0.6,73.08,84.45,overcast clouds,0.0,0,75,93,6.42,MV,2020-06-19 01:48:08
122,Norman Wells,65.28,-126.83,77.0,broken clouds,0.0,0,38,75,4.7,CA,2020-06-19 01:48:09
123,Griffith,41.53,-87.42,79.0,clear sky,0.0,0,50,1,3.36,US,2020-06-19 01:47:45
124,Sandwick,60.0,-1.25,51.8,fog,0.0,0,100,93,14.99,GB,2020-06-19 01:45:27
125,Tabas,33.6,56.92,84.2,clear sky,0.0,0,15,2,4.7,IR,2020-06-19 01:48:09
126,Beian,63.66,9.57,55.99,few clouds,0.0,0,87,20,4.7,NO,2020-06-19 01:48:09
127,Jumla,29.27,82.18,66.33,scattered clouds,0.0,0,61,31,3.69,NP,2020-06-19 01:48:10
128,Boke,10.94,-14.3,77.58,overcast clouds,0.0,0,91,96,4.14,GN,2020-06-19 01:48:10
129,Kottagudem,17.55,80.63,80.24,light rain,0.12,0,82,100,8.21,IN,2020-06-19 01:48:10
130,Avarua,-21.21,-159.78,75.2,overcast clouds,0.0,0,64,87,12.75,CK,2020-06-19 01:48:10
131,Half Moon Bay,37.46,-122.43,84.2,haze,0.0,0,82,1,8.05,US,2020-06-19 01:46:31
132,Boali,4.8,18.13,77.0,thunderstorm,0.0,0,83,20,2.26,CF,2020-06-19 01:48:11
133,Adrar,20.5,-10.07,93.29,clear sky,0.0,0,20,0,14.58,MR,2020-06-19 01:48:11
134,Hami,42.8,93.45,86.05,overcast clouds,0.0,0,18,100,11.7,CN,2020-06-19 01:45:16
135,Labuhan,-6.88,112.21,81.77,scattered clouds,0.0,0,75,39,6.02,ID,2020-06-19 01:46:13
136,Anlu,31.17,112.58,75.99,overcast clouds,0.0,0,77,93,5.46,CN,2020-06-19 01:48:12
137,Kupang,-10.17,123.58,84.2,scattered clouds,0.0,0,62,40,19.46,ID,2020-06-19 01:48:12
138,Milos,36.75,24.43,71.6,clear sky,0.0,0,73,0,1.12,GR,2020-06-19 01:48:12
139,Chuy,-33.7,-53.46,55.13,broken clouds,0.0,0,88,80,7.31,UY,2020-06-19 01:45:11
140,Dingle,11.0,122.67,81.95,overcast clouds,0.0,0,74,100,5.01,PH,2020-06-19 01:48:12
141,Longyearbyen,78.22,15.64,46.4,few clouds,0.0,0,61,20,10.29,SJ,2020-06-19 01:48:12
142,Cherskiy,68.75,161.3,79.88,clear sky,0.0,0,25,0,10.6,RU,2020-06-19 01:48:13
143,Sinop,41.77,34.87,59.31,overcast clouds,0.0,0,76,97,3.53,TR,2020-06-19 01:48:13
144,Ingham,42.6,-84.38,78.8,clear sky,0.0,0,64,1,6.53,US,2020-06-19 01:48:13
145,Naze,28.37,129.48,89.6,broken clouds,0.0,0,66,75,21.92,JP,2020-06-19 01:48:13
146,Castro,-24.79,-50.01,57.6,broken clouds,0.0,0,95,65,4.88,BR,2020-06-19 01:48:13
147,Dunedin,-45.87,170.5,48.0,clear sky,0.0,0,74,3,25.99,NZ,2020-06-19 01:48:14
148,Bandarbeyla,9.49,50.81,81.52,scattered clouds,0.0,0,61,38,25.55,SO,2020-06-19 01:48:14
149,Beyneu,45.32,55.2,81.07,clear sky,0.0,0,23,0,8.52,KZ,2020-06-19 01:48:14
